votdst,GEOID20,TAPERSONS,total_TAPERSONS,fraction
0022,530330260013004,258,578,0.4463667820069204
0022,530330260013013,167,578,0.2889273356401384
0022,530330260013014,153,578,0.2647058823529412
0271,530330261021000,40,591,0.0676818950930626
0271,530330261021002,434,591,0.7343485617597293
0271,530330261021009,117,591,0.19796954314720813
0283,530330261012001,275,465,0.5913978494623656
0283,530330261012002,114,465,0.24516129032258063
0283,530330261012003,76,465,0.16344086021505377
0336,530330119022012,83,111,0.7477477477477478
0336,530330260011005,28,111,0.25225225225225223
0469,530330265001003,50,50,1.0
0568,530330112002017,13,22,0.5909090909090909
0568,530330112002018,9,22,0.4090909090909091
0956,530330266001000,10,272,0.03676470588235294
0956,530330266001001,60,272,0.22058823529411764
0956,530330266001002,22,272,0.08088235294117647
0956,530330266001004,77,272,0.28308823529411764
0956,530330266001005,45,272,0.16544117647058823
0956,530330266002010,58,272,0.21323529411764705
1064,530330267004010,249,249,1.0
1082,530330267004015,286,286,1.0
1131,530330266002001,39,415,0.09397590361445783
1131,530330266002002,35,415,0.08433734939759036
1131,530330266002003,69,415,0.16626506024096385
1131,530330266002004,80,415,0.1927710843373494
1131,530330266002005,192,415,0.46265060240963857
1215,530330265001008,142,865,0.16416184971098266
1215,530330265001009,10,865,0.011560693641618497
1215,530330265001010,187,865,0.2161849710982659
1215,530330265001017,175,865,0.2023121387283237
1215,530330265001018,39,865,0.04508670520231214
1215,530330265002000,89,865,0.10289017341040463
1215,530330265002003,120,865,0.13872832369942195
1215,530330265002005,81,865,0.09364161849710982
1215,530330265002007,22,865,0.025433526011560695
1245,530330113001011,87,841,0.10344827586206896
1245,530330113005000,125,841,0.14863258026159334
1245,530330113005001,114,841,0.13555291319857313
1245,530330113005002,92,841,0.10939357907253269
1245,530330113005004,60,841,0.0713436385255648
1245,530330113005005,60,841,0.0713436385255648
1245,530330113005006,47,841,0.0558858501783591
1245,530330113005007,73,841,0.08680142687277051
1245,530330113005008,46,841,0.054696789536266346
1245,530330113005009,55,841,0.06539833531510107
1245,530330113005010,82,841,0.09750297265160524
1246,530330113003004,59,581,0.10154905335628227
1246,530330113004003,58,581,0.09982788296041308
1246,530330113004004,85,581,0.14629948364888123
1246,530330113004005,49,581,0.08433734939759036
1246,530330113004006,59,581,0.10154905335628227
1246,530330113004014,56,581,0.0963855421686747
1246,530330113004015,102,581,0.17555938037865748
1246,530330113004016,62,581,0.10671256454388985
1246,530330113005015,51,581,0.08777969018932874
1247,530330114012000,153,828,0.18478260869565216
1247,530330114012007,130,828,0.1570048309178744
1247,530330114013006,93,828,0.11231884057971014
1247,530330114013007,88,828,0.10628019323671498
1247,530330114013008,88,828,0.10628019323671498
1247,530330114013013,73,828,0.08816425120772947
1247,530330114013014,67,828,0.08091787439613526
1247,530330114013015,72,828,0.08695652173913043
1247,530330114013016,64,828,0.07729468599033816
1248,530330114021004,200,864,0.23148148148148148
1248,530330114021005,51,864,0.059027777777777776
1248,530330114021006,86,864,0.09953703703703703
1248,530330114021008,89,864,0.10300925925925926
1248,530330114021009,103,864,0.11921296296296297
1248,530330114021010,33,864,0.03819444444444445
1248,530330114021011,62,864,0.07175925925925926
1248,530330114021012,60,864,0.06944444444444445
1248,530330114021013,51,864,0.059027777777777776
1248,530330114021014,129,864,0.14930555555555555
1249,530330114013017,55,1092,0.05036630036630037
1249,530330114013018,64,1092,0.05860805860805861
1249,530330114013019,66,1092,0.06043956043956044
1249,530330114021000,67,1092,0.06135531135531135
1249,530330114021001,65,1092,0.05952380952380952
1249,530330114021002,65,1092,0.05952380952380952
1249,530330114021003,134,1092,0.1227106227106227
1249,530330114022000,194,1092,0.17765567765567766
1249,530330114022001,214,1092,0.19597069597069597
1249,530330114022002,168,1092,0.15384615384615385
1250,530330113003002,65,551,0.11796733212341198
1250,530330113003003,50,551,0.09074410163339383
1250,530330113003005,62,551,0.11252268602540835
1250,530330113003006,69,551,0.12522686025408347
1250,530330113003007,16,551,0.029038112522686024
1250,530330113003008,66,551,0.11978221415607986
1250,530330113003009,73,551,0.132486388384755
1250,530330113003010,44,551,0.07985480943738657
1250,530330113003011,60,551,0.1088929219600726
1250,530330113004009,46,551,0.08348457350272233
1251,530330113001013,143,887,0.161217587373168
1251,530330113001020,481,887,0.5422773393461104
1251,530330113002000,53,887,0.05975197294250282
1251,530330113002001,68,887,0.07666290868094701
1251,530330265001002,74,887,0.0834272829763247
1251,530330265001006,28,887,0.03156708004509583
1251,530330265001007,15,887,0.016910935738444193
1251,530330265001020,25,887,0.02818489289740699
1252,530330113002002,41,1481,0.027683997299122215
1252,530330113002003,58,1481,0.03916272788656313
1252,530330113002004,118,1481,0.07967589466576637
1252,530330113002005,76,1481,0.05131667792032411
1252,530330113002006,225,1481,0.15192437542201215
1252,530330113002007,64,1481,0.04321404456448346
1252,530330113002008,55,1481,0.03713706954760297
1252,530330113002009,56,1481,0.03781228899392303
1252,530330113002010,121,1481,0.08170155300472653
1252,530330113002011,38,1481,0.025658338960162053
1252,530330113002012,22,1481,0.014854827819041188
1252,530330113002013,94,1481,0.06347062795408508
1252,530330113002014,138,1481,0.09318028359216746
1252,530330114022003,160,1481,0.10803511141120864
1252,530330114022009,96,1481,0.06482106684672519
1252,530330114022011,119,1481,0.08035111411208642
1254,530330114022005,54,789,0.06844106463878327
1254,530330114022007,40,789,0.050697084917617236
1254,530330114022008,42,789,0.053231939163498096
1254,530330114022010,13,789,0.016476552598225603
1254,530330114022012,46,789,0.058301647655259824
1254,530330114022013,75,789,0.09505703422053231
1254,530330114022014,80,789,0.10139416983523447
1254,530330114022015,34,789,0.043092522179974654
1254,530330114022016,37,789,0.046894803548795945
1254,530330114022017,53,789,0.06717363751584284
1254,530330114022018,17,789,0.021546261089987327
1254,530330114022019,32,789,0.04055766793409379
1254,530330114022020,10,789,0.012674271229404309
1254,530330114022021,19,789,0.024081115335868188
1254,530330114023000,29,789,0.036755386565272496
1254,530330114023013,99,789,0.12547528517110265
1254,530330114023014,37,789,0.046894803548795945
1254,530330266001003,18,789,0.022813688212927757
1254,530330266002000,54,789,0.06844106463878327
1255,530330114023001,37,790,0.04683544303797468
1255,530330114023002,36,790,0.04556962025316456
1255,530330114023003,437,790,0.5531645569620253
1255,530330114023004,47,790,0.05949367088607595
1255,530330114023011,182,790,0.23037974683544304
1255,530330114023012,51,790,0.06455696202531645
1256,530330112001001,162,1428,0.1134453781512605
1256,530330112001003,8,1428,0.0056022408963585435
1256,530330112001004,123,1428,0.0861344537815126
1256,530330112001005,110,1428,0.07703081232492998
1256,530330112001006,65,1428,0.04551820728291316
1256,530330112001007,68,1428,0.047619047619047616
1256,530330112001009,58,1428,0.04061624649859944
1256,530330112001010,57,1428,0.03991596638655462
1256,530330112001011,120,1428,0.08403361344537816
1256,530330112001012,68,1428,0.047619047619047616
1256,530330112001013,64,1428,0.04481792717086835
1256,530330112001014,103,1428,0.07212885154061624
1256,530330112001015,58,1428,0.04061624649859944
1256,530330112001016,57,1428,0.03991596638655462
1256,530330112001017,307,1428,0.21498599439775912
1257,530330121002000,99,908,0.10903083700440529
1257,530330121002001,42,908,0.046255506607929514
1257,530330121002002,55,908,0.0605726872246696
1257,530330121002003,99,908,0.10903083700440529
1257,530330121002004,97,908,0.10682819383259912
1257,530330121002006,42,908,0.046255506607929514
1257,530330121002007,59,908,0.06497797356828194
1257,530330121002008,182,908,0.20044052863436124
1257,530330121002009,22,908,0.024229074889867842
1257,530330121002013,17,908,0.018722466960352423
1257,530330267004001,48,908,0.05286343612334802
1257,530330267004002,146,908,0.16079295154185022
1258,530330121001015,28,457,0.061269146608315096
1258,530330121001019,85,457,0.18599562363238512
1258,530330121001021,12,457,0.0262582056892779
1258,530330121002005,104,457,0.2275711159737418
1258,530330121002011,61,457,0.13347921225382933
1258,530330121002012,109,457,0.23851203501094093
1258,530330121002016,58,457,0.12691466083150985
1259,530330121002010,190,440,0.4318181818181818
1259,530330121002015,61,440,0.13863636363636364
1259,530330121002017,51,440,0.1159090909090909
1259,530330121002018,76,440,0.17272727272727273
1259,530330121002019,62,440,0.1409090909090909
1262,530330045002001,7,711,0.009845288326300985
1262,530330045002002,49,711,0.06891701828410689
1262,530330045002003,49,711,0.06891701828410689
1262,530330045002004,29,711,0.040787623066104076
1262,530330045002005,43,711,0.06047819971870605
1262,530330045002006,76,711,0.10689170182841069
1262,530330045002007,104,711,0.14627285513361463
1262,530330045002008,87,711,0.12236286919831224
1262,530330045002009,80,711,0.11251758087201125
1262,530330045002010,84,711,0.11814345991561181
1262,530330045002011,103,711,0.14486638537271448
1263,530330045002023,14,518,0.02702702702702703
1263,530330046003005,70,518,0.13513513513513514
1263,530330046003006,69,518,0.13320463320463322
1263,530330046003007,104,518,0.20077220077220076
1263,530330046003008,30,518,0.05791505791505792
1263,530330046003009,76,518,0.14671814671814673
1263,530330046003010,78,518,0.15057915057915058
1263,530330046003014,77,518,0.14864864864864866
1264,530330046001020,71,488,0.14549180327868852
1264,530330046001021,67,488,0.13729508196721313
1264,530330046001022,72,488,0.14754098360655737
1264,530330046003011,111,488,0.22745901639344263
1264,530330046003012,81,488,0.16598360655737704
1264,530330046003013,86,488,0.1762295081967213
1265,530330046001010,54,382,0.14136125654450263
1265,530330046001011,55,382,0.14397905759162305
1265,530330046001012,46,382,0.12041884816753927
1265,530330046001013,50,382,0.13089005235602094
1265,530330046001019,42,382,0.1099476439790576
1265,530330046001023,78,382,0.20418848167539266
1265,530330046001024,57,382,0.14921465968586387
1266,530330046001001,52,543,0.09576427255985268
1266,530330046001002,82,543,0.15101289134438306
1266,530330046001005,62,543,0.1141804788213628
1266,530330046001007,82,543,0.15101289134438306
1266,530330046001014,65,543,0.11970534069981584
1266,530330046001015,109,543,0.2007366482504604
1266,530330046001016,24,543,0.04419889502762431
1266,530330046001017,67,543,0.12338858195211787
1267,530330046002005,51,547,0.09323583180987204
1267,530330046002006,126,547,0.2303473491773309
1267,530330046002007,51,547,0.09323583180987204
1267,530330046002008,73,547,0.13345521023765997
1267,530330046003001,74,547,0.13528336380255943
1267,530330046003002,88,547,0.16087751371115175
1267,530330046003003,84,547,0.15356489945155394
1268,530330046002001,36,497,0.07243460764587525
1268,530330046002002,49,497,0.09859154929577464
1268,530330046002003,27,497,0.05432595573440644
1268,530330046002004,80,497,0.16096579476861167
1268,530330046002009,68,497,0.13682092555331993
1268,530330046002010,46,497,0.0925553319919517
1268,530330046002011,68,497,0.13682092555331993
1268,530330046003000,75,497,0.15090543259557343
1268,530330046003004,48,497,0.096579476861167
1269,530330046002000,79,492,0.16056910569105692
1269,530330046002012,109,492,0.22154471544715448
1269,530330046002013,93,492,0.18902439024390244
1269,530330046002014,62,492,0.12601626016260162
1269,530330046002015,49,492,0.09959349593495935
1269,530330046002016,62,492,0.12601626016260162
1269,530330046002017,38,492,0.07723577235772358
1271,530330036011000,164,1970,0.083248730964467
1271,530330036011001,67,1970,0.03401015228426396
1271,530330036011023,34,1970,0.017258883248730966
1271,530330036011024,43,1970,0.02182741116751269
1271,530330036011025,52,1970,0.026395939086294416
1271,530330036011026,71,1970,0.03604060913705584
1271,530330036011027,168,1970,0.08527918781725888
1271,530330036011028,24,1970,0.012182741116751269
1271,530330036011030,27,1970,0.013705583756345178
1271,530330036011031,30,1970,0.015228426395939087
1271,530330036011032,28,1970,0.014213197969543147
1271,530330036021013,235,1970,0.11928934010152284
1271,530330036021014,669,1970,0.3395939086294416
1271,530330036021016,358,1970,0.1817258883248731
1272,530330036011013,92,689,0.13352685050798258
1272,530330036011015,94,689,0.13642960812772134
1272,530330036011016,45,689,0.06531204644412192
1272,530330036011017,55,689,0.07982583454281568
1272,530330036011018,51,689,0.07402031930333818
1272,530330036011019,22,689,0.03193033381712627
1272,530330036012016,77,689,0.11175616835994194
1272,530330036012019,70,689,0.10159651669085631
1272,530330036012020,86,689,0.12481857764876633
1272,530330036012021,97,689,0.14078374455732948
1273,530330032021003,59,405,0.145679012345679
1273,530330032021004,74,405,0.18271604938271604
1273,530330032021005,71,405,0.17530864197530865
1273,530330032021006,62,405,0.15308641975308643
1273,530330032021007,71,405,0.17530864197530865
1273,530330032021008,68,405,0.16790123456790124
1274,530330036012005,38,466,0.0815450643776824
1274,530330036012006,37,466,0.07939914163090128
1274,530330036012007,71,466,0.15236051502145923
1274,530330036012009,71,466,0.15236051502145923
1274,530330036012010,68,466,0.1459227467811159
1274,530330036012014,86,466,0.18454935622317598
1274,530330036012015,95,466,0.20386266094420602
1275,530330036012011,47,375,0.12533333333333332
1275,530330036012012,20,375,0.05333333333333334
1275,530330036012013,69,375,0.184
1275,530330036012017,58,375,0.15466666666666667
1275,530330036012018,77,375,0.20533333333333334
1275,530330046001003,36,375,0.096
1275,530330046001006,22,375,0.058666666666666666
1275,530330046001018,46,375,0.12266666666666666
1277,530330036011014,60,823,0.07290400972053462
1277,530330036012000,55,823,0.06682867557715674
1277,530330036012008,75,823,0.0911300121506683
1277,530330036013000,232,823,0.2818955042527339
1277,530330036013005,239,823,0.29040097205346294
1277,530330036013007,162,823,0.1968408262454435
1278,530330036011010,34,1029,0.03304178814382896
1278,530330036011011,49,1029,0.047619047619047616
1278,530330036011012,57,1029,0.05539358600583091
1278,530330036013006,189,1029,0.1836734693877551
1278,530330036023009,118,1029,0.11467444120505345
1278,530330036023015,71,1029,0.06899902818270165
1278,530330036023016,250,1029,0.24295432458697766
1278,530330036023018,249,1029,0.24198250728862974
1278,530330036023020,12,1029,0.011661807580174927
1279,530330026002015,140,1333,0.10502625656414104
1279,530330026002016,51,1333,0.03825956489122281
1279,530330026002019,45,1333,0.03375843960990248
1279,530330026002020,43,1333,0.03225806451612903
1279,530330026002021,67,1333,0.05026256564141035
1279,530330026003005,117,1333,0.08777194298574643
1279,530330026003006,54,1333,0.04051012753188297
1279,530330026003007,142,1333,0.10652663165791448
1279,530330026003008,116,1333,0.08702175543885972
1279,530330036021000,39,1333,0.029257314328582147
1279,530330036021001,35,1333,0.02625656414103526
1279,530330036021002,36,1333,0.02700675168792198
1279,530330036021006,225,1333,0.16879219804951237
1279,530330036021007,84,1333,0.06301575393848462
1279,530330036021008,67,1333,0.05026256564141035
1279,530330036021009,38,1333,0.028507126781695424
1279,530330036021017,34,1333,0.025506376594148537
1280,530330036022000,290,1613,0.17978921264724115
1280,530330036022008,55,1613,0.034097954122752634
1280,530330036022009,10,1613,0.006199628022318661
1280,530330036022010,79,1613,0.048977061376317424
1280,530330036022011,57,1613,0.035337879727216366
1280,530330036022012,82,1613,0.05083694978301302
1280,530330036022013,419,1613,0.2597644141351519
1280,530330036023004,49,1613,0.03037817730936144
1280,530330036023010,71,1613,0.04401735895846249
1280,530330036023011,59,1613,0.0365778053316801
1280,530330036023012,67,1613,0.041537507749535026
1280,530330036023013,47,1613,0.029138251704897707
1280,530330036023017,321,1613,0.19900805951642903
1280,530330046001000,7,1613,0.0043397396156230625
1282,530330027002025,58,1033,0.05614714424007745
1282,530330027002029,26,1033,0.02516940948693127
1282,530330027002030,31,1033,0.030009680542110357
1282,530330027002031,115,1033,0.11132623426911907
1282,530330027002032,107,1033,0.10358180058083252
1282,530330027002034,171,1033,0.16553727008712488
1282,530330027002035,25,1033,0.02420135527589545
1282,530330027002036,19,1033,0.018393030009680542
1282,530330027003014,42,1033,0.04065827686350436
1282,530330027003015,35,1033,0.03388189738625363
1282,530330036022001,91,1033,0.08809293320425944
1282,530330036022002,60,1033,0.05808325266214908
1282,530330036022003,68,1033,0.06582768635043562
1282,530330036022004,29,1033,0.028073572120038724
1282,530330036022005,57,1033,0.05517909002904162
1282,530330036022006,62,1033,0.060019361084220714
1282,530330036022007,37,1033,0.03581800580832527
1283,530330027003008,69,474,0.14556962025316456
1283,530330027003009,122,474,0.25738396624472576
1283,530330027003010,92,474,0.1940928270042194
1283,530330027003012,115,474,0.24261603375527427
1283,530330027003013,76,474,0.16033755274261605
1284,530330027003011,57,388,0.14690721649484537
1284,530330027004011,84,388,0.21649484536082475
1284,530330027004012,5,388,0.01288659793814433
1284,530330027004013,76,388,0.1958762886597938
1284,530330027004014,32,388,0.08247422680412371
1284,530330027004019,64,388,0.16494845360824742
1284,530330027004020,61,388,0.15721649484536082
1284,530330027004021,9,388,0.023195876288659795
1285,530330027004018,73,472,0.15466101694915255
1285,530330027004022,61,472,0.1292372881355932
1285,530330027004023,107,472,0.2266949152542373
1285,530330027004024,33,472,0.06991525423728813
1285,530330027004025,34,472,0.07203389830508475
1285,530330027004026,61,472,0.1292372881355932
1285,530330027004027,51,472,0.10805084745762712
1285,530330027004028,52,472,0.11016949152542373
1286,530330028002001,86,669,0.12855007473841554
1286,530330028002007,103,669,0.15396113602391628
1286,530330028002008,82,669,0.12257100149476831
1286,530330028002009,55,669,0.08221225710014948
1286,530330028002010,121,669,0.18086696562032886
1286,530330028002015,125,669,0.18684603886397608
1286,530330028002016,27,669,0.04035874439461883
1286,530330028003001,70,669,0.10463378176382661
1287,530330035001001,66,953,0.06925498426023086
1287,530330035001009,32,953,0.033578174186778595
1287,530330035001010,80,953,0.08394543546694648
1287,530330035001011,96,953,0.10073452256033578
1287,530330035001014,60,953,0.06295907660020986
1287,530330035001015,70,953,0.07345225603357818
1287,530330035001016,61,953,0.06400839454354669
1287,530330035001017,44,953,0.046169989506820566
1287,530330035001018,100,953,0.1049317943336831
1287,530330035001019,73,953,0.07660020986358866
1287,530330035001020,78,953,0.08184679958027283
1287,530330035001021,75,953,0.07869884575026233
1287,530330035001022,67,953,0.07030430220356768
1287,530330035001023,42,953,0.04407135362014691
1287,530330035002003,9,953,0.00944386149003148
1288,530330035001002,64,625,0.1024
1288,530330035001003,87,625,0.1392
1288,530330035001004,63,625,0.1008
1288,530330035001005,69,625,0.1104
1288,530330035001006,105,625,0.168
1288,530330035001007,51,625,0.0816
1288,530330035001008,42,625,0.0672
1288,530330035001012,73,625,0.1168
1288,530330035001013,71,625,0.1136
1291,530330034001000,60,864,0.06944444444444445
1291,530330034001001,65,864,0.07523148148148148
1291,530330034001002,73,864,0.08449074074074074
1291,530330034001012,95,864,0.1099537037037037
1291,530330034001013,98,864,0.11342592592592593
1291,530330034001014,56,864,0.06481481481481481
1291,530330034001015,75,864,0.08680555555555555
1291,530330035002010,63,864,0.07291666666666667
1291,530330035002011,76,864,0.08796296296296297
1291,530330035002012,42,864,0.04861111111111111
1291,530330035002013,38,864,0.04398148148148148
1291,530330035002014,40,864,0.046296296296296294
1291,530330035002015,18,864,0.020833333333333332
1291,530330035002016,65,864,0.07523148148148148
1292,530330028001007,84,534,0.15730337078651685
1292,530330028001008,73,534,0.13670411985018727
1292,530330028001010,65,534,0.12172284644194757
1292,530330028001011,82,534,0.15355805243445692
1292,530330028001016,73,534,0.13670411985018727
1292,530330028001017,75,534,0.1404494382022472
1292,530330028002002,82,534,0.15355805243445692
1294,530330034001003,96,990,0.09696969696969697
1294,530330034001004,59,990,0.0595959595959596
1294,530330034001005,92,990,0.09292929292929293
1294,530330034001006,56,990,0.05656565656565657
1294,530330034001007,31,990,0.031313131313131314
1294,530330034001008,83,990,0.08383838383838384
1294,530330034001009,85,990,0.08585858585858586
1294,530330034001010,87,990,0.08787878787878788
1294,530330034001011,85,990,0.08585858585858586
1294,530330034002009,25,990,0.025252525252525252
1294,530330034002010,69,990,0.0696969696969697
1294,530330034002011,75,990,0.07575757575757576
1294,530330034002012,55,990,0.05555555555555555
1294,530330034002013,92,990,0.09292929292929293
1295,530330034002003,76,480,0.15833333333333333
1295,530330034002004,74,480,0.15416666666666667
1295,530330034002005,73,480,0.15208333333333332
1295,530330034002006,71,480,0.14791666666666667
1295,530330034002007,84,480,0.175
1295,530330034002008,34,480,0.07083333333333333
1295,530330034002014,68,480,0.14166666666666666
1296,530330029002016,51,435,0.11724137931034483
1296,530330029002017,44,435,0.10114942528735632
1296,530330029003014,112,435,0.2574712643678161
1296,530330029003015,52,435,0.11954022988505747
1296,530330029003016,106,435,0.24367816091954023
1296,530330029003017,33,435,0.07586206896551724
1296,530330029003018,37,435,0.08505747126436781
1297,530330029002010,70,455,0.15384615384615385
1297,530330029002012,39,455,0.08571428571428572
1297,530330029002013,52,455,0.11428571428571428
1297,530330029002014,60,455,0.13186813186813187
1297,530330029002015,32,455,0.07032967032967033
1297,530330029002018,44,455,0.0967032967032967
1297,530330029002019,48,455,0.1054945054945055
1297,530330029002020,48,455,0.1054945054945055
1297,530330029002021,62,455,0.13626373626373625
1298,530330034002000,93,461,0.2017353579175705
1298,530330034002001,88,461,0.19088937093275488
1298,530330034002002,69,461,0.14967462039045554
1298,530330034002015,79,461,0.17136659436008678
1298,530330034002016,55,461,0.1193058568329718
1298,530330034002017,77,461,0.16702819956616052
1299,530330028003004,78,553,0.1410488245931284
1299,530330028003005,79,553,0.14285714285714285
1299,530330028003006,140,553,0.25316455696202533
1299,530330028003007,97,553,0.17540687160940324
1299,530330028003013,85,553,0.15370705244122965
1299,530330028003014,74,553,0.13381555153707053
1300,530330028003002,138,608,0.22697368421052633
1300,530330028003003,124,608,0.20394736842105263
1300,530330028003008,114,608,0.1875
1300,530330028003009,75,608,0.12335526315789473
1300,530330028003011,63,608,0.10361842105263158
1300,530330028003012,94,608,0.15460526315789475
1301,530330028002005,37,416,0.0889423076923077
1301,530330028002006,70,416,0.16826923076923078
1301,530330028002011,87,416,0.2091346153846154
1301,530330028002012,75,416,0.18028846153846154
1301,530330028002013,74,416,0.1778846153846154
1301,530330028002014,73,416,0.17548076923076922
1303,530330028001012,67,532,0.12593984962406016
1303,530330028001013,93,532,0.17481203007518797
1303,530330028001014,96,532,0.18045112781954886
1303,530330028001015,89,532,0.16729323308270677
1303,530330028002003,60,532,0.11278195488721804
1303,530330028002004,127,532,0.2387218045112782
1304,530330029002004,53,421,0.12589073634204276
1304,530330029002007,79,421,0.1876484560570071
1304,530330029002008,77,421,0.1828978622327791
1304,530330029002011,67,421,0.15914489311163896
1304,530330029002022,50,421,0.1187648456057007
1304,530330029002023,31,421,0.07363420427553444
1304,530330029002024,30,421,0.07125890736342043
1304,530330029002025,34,421,0.08076009501187649
1305,530330029002005,87,397,0.21914357682619648
1305,530330029002006,85,397,0.2141057934508816
1305,530330029002009,73,397,0.18387909319899245
1305,530330029003006,76,397,0.19143576826196473
1305,530330029003007,76,397,0.19143576826196473
1306,530330029003008,73,491,0.14867617107942974
1306,530330029003009,103,491,0.20977596741344195
1306,530330029003010,69,491,0.14052953156822812
1306,530330029003011,87,491,0.17718940936863545
1306,530330029003012,75,491,0.15274949083503056
1306,530330029003013,84,491,0.1710794297352342
1307,530330028001003,82,386,0.21243523316062177
1307,530330028001004,63,386,0.16321243523316062
1307,530330028001005,82,386,0.21243523316062177
1307,530330028001006,78,386,0.20207253886010362
1307,530330028004014,81,386,0.20984455958549222
1308,530330028004003,76,470,0.16170212765957448
1308,530330028004004,39,470,0.08297872340425531
1308,530330028004005,59,470,0.125531914893617
1308,530330028004006,85,470,0.18085106382978725
1308,530330028004011,94,470,0.2
1308,530330028004012,72,470,0.15319148936170213
1308,530330028004013,45,470,0.09574468085106383
1309,530330028001001,74,791,0.09355246523388117
1309,530330028001002,79,791,0.09987357774968394
1309,530330028004001,85,791,0.10745891276864729
1309,530330028004002,156,791,0.1972187104930468
1309,530330028004007,69,791,0.08723135271807839
1309,530330028004008,52,791,0.06573957016434892
1309,530330028004009,61,791,0.07711757269279393
1309,530330028004010,90,791,0.11378002528445007
1309,530330028004015,66,791,0.08343868520859671
1309,530330028004016,59,791,0.07458912768647281
1310,530330027004001,92,693,0.13275613275613277
1310,530330027004002,65,693,0.09379509379509379
1310,530330027004003,125,693,0.18037518037518038
1310,530330027004004,75,693,0.10822510822510822
1310,530330027004005,112,693,0.16161616161616163
1310,530330027004007,47,693,0.06782106782106782
1310,530330027004009,104,693,0.15007215007215008
1310,530330027004015,19,693,0.027417027417027416
1310,530330027004016,31,693,0.044733044733044736
1310,530330027004017,23,693,0.03318903318903319
1311,530330018001017,68,757,0.08982826948480846
1311,530330018001018,77,757,0.10171730515191546
1311,530330018002013,37,757,0.0488771466314399
1311,530330018002014,186,757,0.24570673712021135
1311,530330018002015,187,757,0.24702774108322326
1311,530330018002016,202,757,0.2668428005284016
1312,530330027003001,29,529,0.054820415879017016
1312,530330027003002,111,529,0.20982986767485823
1312,530330027003003,96,529,0.18147448015122875
1312,530330027003004,55,529,0.10396975425330812
1312,530330027003005,81,529,0.15311909262759923
1312,530330027004000,79,529,0.14933837429111532
1312,530330027004010,78,529,0.14744801512287334
1313,530330027002013,131,384,0.3411458333333333
1313,530330027002019,69,384,0.1796875
1313,530330027003000,47,384,0.12239583333333333
1313,530330027003006,69,384,0.1796875
1313,530330027003007,68,384,0.17708333333333334
1314,530330027002017,34,471,0.07218683651804671
1314,530330027002018,62,471,0.1316348195329087
1314,530330027002020,71,471,0.15074309978768577
1314,530330027002021,73,471,0.15498938428874734
1314,530330027002022,57,471,0.12101910828025478
1314,530330027002023,36,471,0.07643312101910828
1314,530330027002026,50,471,0.10615711252653928
1314,530330027002027,68,471,0.14437367303609341
1314,530330027002028,20,471,0.04246284501061571
1317,530330047012003,99,981,0.10091743119266056
1317,530330047012005,17,981,0.017329255861365953
1317,530330047012006,177,981,0.18042813455657492
1317,530330047012007,12,981,0.012232415902140673
1317,530330047012008,8,981,0.00815494393476045
1317,530330047012009,4,981,0.004077471967380225
1317,530330047012011,157,981,0.1600407747196738
1317,530330047012012,15,981,0.01529051987767584
1317,530330047012013,64,981,0.0652395514780836
1317,530330047012014,23,981,0.023445463812436288
1317,530330047012015,9,981,0.009174311926605505
1317,530330047012016,6,981,0.0061162079510703364
1317,530330047013005,358,981,0.36493374108053006
1317,530330047032023,18,981,0.01834862385321101
1317,530330047032027,14,981,0.014271151885830785
1318,530330047021002,108,812,0.1330049261083744
1318,530330047021005,137,812,0.1687192118226601
1318,530330047021010,139,812,0.17118226600985223
1318,530330047022002,428,812,0.5270935960591133
1319,530330033022008,89,785,0.11337579617834395
1319,530330033022012,206,785,0.2624203821656051
1319,530330047021001,151,785,0.19235668789808918
1319,530330047021006,19,785,0.024203821656050957
1319,530330047021009,55,785,0.07006369426751592
1319,530330047031002,80,785,0.10191082802547771
1319,530330047031003,105,785,0.1337579617834395
1319,530330047031008,80,785,0.10191082802547771
1320,530330033022006,79,536,0.14738805970149255
1320,530330033022007,93,536,0.17350746268656717
1320,530330047031000,60,536,0.11194029850746269
1320,530330047031001,46,536,0.08582089552238806
1320,530330047031004,58,536,0.10820895522388059
1320,530330047031005,75,536,0.13992537313432835
1320,530330047031006,67,536,0.125
1320,530330047031007,58,536,0.10820895522388059
1321,530330033021014,38,609,0.06239737274220033
1321,530330033021015,58,609,0.09523809523809523
1321,530330033021016,31,609,0.05090311986863711
1321,530330033021020,81,609,0.1330049261083744
1321,530330033021021,105,609,0.1724137931034483
1321,530330033021022,48,609,0.07881773399014778
1321,530330033022000,99,609,0.1625615763546798
1321,530330033022001,64,609,0.10509031198686371
1321,530330033022005,85,609,0.13957307060755336
1322,530330033021017,39,675,0.057777777777777775
1322,530330033021018,55,675,0.08148148148148149
1322,530330033021019,55,675,0.08148148148148149
1322,530330033022002,79,675,0.11703703703703704
1322,530330033022003,74,675,0.10962962962962963
1322,530330033022004,50,675,0.07407407407407407
1322,530330033022011,135,675,0.2
1322,530330033023010,188,675,0.2785185185185185
1323,530330033011013,103,879,0.11717861205915814
1323,530330033011014,188,879,0.21387940841865757
1323,530330033012000,148,879,0.16837315130830488
1323,530330033012001,167,879,0.1899886234357224
1323,530330033012007,131,879,0.149032992036405
1323,530330033012008,142,879,0.161547212741752
1324,530330033012006,104,1222,0.0851063829787234
1324,530330033012009,171,1222,0.13993453355155483
1324,530330033012010,97,1222,0.07937806873977087
